Venture,Objective Setter,Objective Critiquer,Mentor1,Mentor2,Mentor3,Mentor4,Mentor5
Heatrix GmbH,Caroline Bergaud,Magali Anderson,André Pitié,Arnaud Blandin,Jason Van Gaal,Miles Elsden,
Valence Technologies,Caroline Bergaud,Julien Venturini,Andrew Beswick,André Pitié,Arnaud Blandin,Jason Van Gaal,Laurent Bertiau
Ceal Minerals,Magali Anderson,Caroline Bergaud,Arnaud Blandin,Miles Elsden,Osnat Michaeli,Tobias Suenner,
BioHalo ApS,Julien Venturini,Lisa Aberg,Andrew Beswick,Edward G. Krubasik,Karen Strassel,Laurent Bertiau,Lida Preyma
ZENI,Julian Gray,Edward G. Krubasik,Antoine Le Feuvre,Gia Aradottir,Karen Strassel,Michael Wilshire,Renaud Visage
A&B Smart Materials,Julien Venturini,Michael Wilshire,Andrew Beswick,André Pitié,Jason Van Gaal,Julian Gray,Laurent Bertiau
Caplyzer,Michael Wilshire,Lisa Aberg,Julian Gray,Lida Preyma,Magali Anderson,Miles Elsden,
Thalya,Osnat Michaeli,Gia Aradottir,Antoine Le Feuvre,Edward G. Krubasik,Karen Strassel,Renaud Visage,Tobias Suenner
ER Ocean Recherche,Lisa Aberg,Osnat Michaeli,Antoine Le Feuvre,Gia Aradottir,Lida Preyma,Renaud Visage,Tobias Suenner
Co-reactive,Karen Strassel,Magali Anderson,André Pitié,Julien Venturini,Miles Elsden,Osnat Michaeli,
Enspired Solutions,Caroline Bergaud,Laurent Bertiau,Arnaud Blandin,Edward G. Krubasik,Lida Preyma,Michael Wilshire,Renaud Visage
Aerleum,Magali Anderson,Lisa Aberg,André Pitié,Antoine Le Feuvre,Miles Elsden,Osnat Michaeli,
M4Life,Lisa Aberg,Caroline Bergaud,Andrew Beswick,Antoine Le Feuvre,Arnaud Blandin,Gia Aradottir,Renaud Visage
CURA Climate Inc.,Julian Gray,Magali Anderson,Edward G. Krubasik,Jason Van Gaal,Laurent Bertiau,Osnat Michaeli,Tobias Suenner
Intace,Arnaud Blandin,Karen Strassel,Caroline Bergaud,Edward G. Krubasik,Julien Venturini,Laurent Bertiau,Renaud Visage
HalioGen Power,Lida Preyma,Lisa Aberg,Andrew Beswick,Antoine Le Feuvre,Gia Aradottir,Michael Wilshire,
PhaseTree,Tobias Suenner,Michael Wilshire,Andrew Beswick,Gia Aradottir,Jason Van Gaal,Julian Gray,Lida Preyma
Mykor Ltd,Karen Strassel,Tobias Suenner,André Pitié,Jason Van Gaal,Julian Gray,Julien Venturini,Miles Elsden
