Venture,Original_OS,Created_OS,Original_OS_Score,Created_OS_Score,Original_OC,Created_OC,Original_OC_Score,Created_OC_Score,Original_Avg,Created_Avg,Improvement
A&B Smart Materials,Lisa Aberg,Julien Venturini,0.622,0.692,Julien Venturini,Michael Wilshire,0.692,0.68,0.657,0.6859999999999999,0.028999999999999915
Aerleum,Magali Anderson,Magali Anderson,0.99032,0.99032,Caroline Bergaud,Lisa Aberg,0.468,1.0,0.72916,0.99516,0.266
Biohalo Aps,Laurent Bertiau,Julien Venturini,0.38716,0.85032,Lisa Aberg,Lisa Aberg,0.498,0.498,0.44258,0.67416,0.23158
Caplyzer,Renaud Visage,Michael Wilshire,0.468,0.692,Lida Preyma,Lisa Aberg,0.68,0.99032,0.5740000000000001,0.8411599999999999,0.26715999999999984
Ceal Minerals,Magali Anderson,Magali Anderson,1.0,1.0,Arnaud Blandin,Caroline Bergaud,0.72,1.0,0.86,1.0,0.14
Co-Reactive,Jason Van Gaal,Karen Strassel,,0.738,Antoine Le Feuvre,Magali Anderson,,1.0,,0.869,
Cura Climate Inc.,Andrew Beswick,Julian Gray,0.692,0.82916,Arnaud Blandin,Magali Anderson,0.552,1.0,0.622,0.91458,0.29257999999999995
Enspired Solutions,Caroline Bergaud,Caroline Bergaud,1.0,1.0,Laurent Bertiau,Laurent Bertiau,0.67632,0.67632,0.83816,0.83816,0.0
Er Ocean Recherche,Karen Strassel,Lisa Aberg,0.51,0.692,Osnat Michaeli,Osnat Michaeli,0.89,0.89,0.7,0.7909999999999999,0.09099999999999997
Haliogen Power,Lida Preyma,Lida Preyma,0.94832,0.94832,Andrew Beswick,Lisa Aberg,0.692,0.77116,0.82016,0.85974,0.03957999999999995
Heatrix Gmbh,Caroline Bergaud,Caroline Bergaud,1.0,1.0,Karen Strassel,Magali Anderson,0.58,0.71,0.79,0.855,0.06499999999999995
Intace,Edward G. Krubasik,Arnaud Blandin,0.322,0.79632,Jason Van Gaal,Karen Strassel,0.42,0.992,0.371,0.8941600000000001,0.5231600000000001
M4Life,Renaud Visage,Lisa Aberg,,0.692,Gia Aradottir,Caroline Bergaud,,0.79916,,0.7455799999999999,
Mykor Ltd,André Pitié,Karen Strassel,0.168,0.80832,Julian Gray,Tobias Suenner,0.498,0.714,0.333,0.7611600000000001,0.42816000000000004
Phasetree,Tobias Suenner,Tobias Suenner,0.732,0.732,Renaud Visage,Michael Wilshire,0.63,0.68,0.681,0.706,0.02499999999999991
Thalya,Miles Elsden,Osnat Michaeli,0.092,0.822,Osnat Michaeli,Gia Aradottir,0.822,0.51,0.45699999999999996,0.6659999999999999,0.20899999999999996
Valence Technologies,Tobias Suenner,Caroline Bergaud,0.34,1.0,Karen Strassel,Julien Venturini,0.562,0.68,0.45100000000000007,0.8400000000000001,0.389
Zeni,Michael Wilshire,Julian Gray,0.498,0.51,Miles Elsden,Edward G. Krubasik,0.12,0.732,0.309,0.621,0.312
