sgm,table_id,startup_id,startup_name,mentor_ids_at_table,mentor_names_at_table,os_happens_here,os_mentor_id,os_mentor_name,oc_happens_here,oc_mentor_id,oc_mentor_name
1,1,startup_009,startup_009,MENTOR_008 | MENTOR_011,MENTOR_008 | MENTOR_011,1,MENTOR_008,MENTOR_008,0,,
1,2,startup_005,startup_005,MENTOR_013 | MENTOR_016 | MENTOR_026,MENTOR_013 | MENTOR_016 | MENTOR_026,0,,,0,,
1,3,startup_008,startup_008,MENTOR_014 | MENTOR_025,MENTOR_014 | MENTOR_025,1,MENTOR_014,MENTOR_014,0,,
1,4,startup_004,startup_004,MENTOR_027 | MENTOR_034,MENTOR_027 | MENTOR_034,0,,,0,,
1,5,startup_001,startup_001,MENTOR_006 | MENTOR_012,MENTOR_006 | MENTOR_012,1,MENTOR_012,MENTOR_012,0,,
1,6,startup_003,startup_003,MENTOR_002 | MENTOR_029,MENTOR_002 | MENTOR_029,1,MENTOR_002,MENTOR_002,0,,
1,7,startup_007,startup_007,MENTOR_028 | MENTOR_033,MENTOR_028 | MENTOR_033,1,MENTOR_033,MENTOR_033,0,,
1,8,startup_006,startup_006,MENTOR_003 | MENTOR_023 | MENTOR_032,MENTOR_003 | MENTOR_023 | MENTOR_032,1,MENTOR_003,MENTOR_003,0,,
1,9,startup_002,startup_002,MENTOR_010 | MENTOR_031,MENTOR_010 | MENTOR_031,0,,,0,,
2,1,startup_007,startup_007,MENTOR_008 | MENTOR_011,MENTOR_008 | MENTOR_011,0,,,1,MENTOR_008,MENTOR_008
2,2,startup_009,startup_009,MENTOR_013 | MENTOR_016 | MENTOR_026,MENTOR_013 | MENTOR_016 | MENTOR_026,0,,,0,,
2,3,startup_003,startup_003,MENTOR_014 | MENTOR_025,MENTOR_014 | MENTOR_025,0,,,0,,
2,4,startup_008,startup_008,MENTOR_027 | MENTOR_034,MENTOR_027 | MENTOR_034,0,,,0,,
2,5,startup_002,startup_002,MENTOR_006 | MENTOR_012,MENTOR_006 | MENTOR_012,1,MENTOR_012,MENTOR_012,0,,
2,6,startup_001,startup_001,MENTOR_002 | MENTOR_029,MENTOR_002 | MENTOR_029,0,,,1,MENTOR_002,MENTOR_002
2,7,startup_005,startup_005,MENTOR_028 | MENTOR_033,MENTOR_028 | MENTOR_033,1,MENTOR_028,MENTOR_028,0,,
2,8,startup_004,startup_004,MENTOR_003 | MENTOR_023 | MENTOR_032,MENTOR_003 | MENTOR_023 | MENTOR_032,1,MENTOR_003,MENTOR_003,0,,
2,9,startup_006,startup_006,MENTOR_010 | MENTOR_031,MENTOR_010 | MENTOR_031,0,,,0,,
3,1,startup_004,startup_004,MENTOR_008 | MENTOR_011,MENTOR_008 | MENTOR_011,0,,,1,MENTOR_008,MENTOR_008
3,2,startup_008,startup_008,MENTOR_013 | MENTOR_016 | MENTOR_026,MENTOR_013 | MENTOR_016 | MENTOR_026,0,,,1,MENTOR_013,MENTOR_013
3,3,startup_009,startup_009,MENTOR_014 | MENTOR_025,MENTOR_014 | MENTOR_025,0,,,1,MENTOR_014,MENTOR_014
3,4,startup_005,startup_005,MENTOR_027 | MENTOR_034,MENTOR_027 | MENTOR_034,0,,,1,MENTOR_027,MENTOR_027
3,5,startup_003,startup_003,MENTOR_006 | MENTOR_012,MENTOR_006 | MENTOR_012,0,,,1,MENTOR_012,MENTOR_012
3,6,startup_007,startup_007,MENTOR_002 | MENTOR_029,MENTOR_002 | MENTOR_029,0,,,0,,
3,7,startup_006,startup_006,MENTOR_028 | MENTOR_033,MENTOR_028 | MENTOR_033,0,,,1,MENTOR_033,MENTOR_033
3,8,startup_002,startup_002,MENTOR_003 | MENTOR_023 | MENTOR_032,MENTOR_003 | MENTOR_023 | MENTOR_032,0,,,1,MENTOR_003,MENTOR_003
3,9,startup_001,startup_001,MENTOR_010 | MENTOR_031,MENTOR_010 | MENTOR_031,0,,,0,,
