sgm,table_id,startup_id,startup_name,mentor_ids_at_table,mentor_names_at_table,os_happens_here,os_mentor_id,os_mentor_name,oc_happens_here,oc_mentor_id,oc_mentor_name
1,1,startup_011,startup_011,MENTOR_006 | MENTOR_012 | MENTOR_016,MENTOR_006 | MENTOR_012 | MENTOR_016,1,MENTOR_012,MENTOR_012,0,,
1,2,startup_014,startup_014,MENTOR_010 | MENTOR_025 | MENTOR_028,MENTOR_010 | MENTOR_025 | MENTOR_028,1,MENTOR_028,MENTOR_028,0,,
1,3,startup_012,startup_012,MENTOR_002 | MENTOR_014,MENTOR_002 | MENTOR_014,1,MENTOR_002,MENTOR_002,0,,
1,4,startup_018,startup_018,MENTOR_029 | MENTOR_031,MENTOR_029 | MENTOR_031,0,,,0,,
1,5,startup_010,startup_010,MENTOR_003 | MENTOR_034,MENTOR_003 | MENTOR_034,1,MENTOR_034,MENTOR_034,0,,
1,6,startup_016,startup_016,MENTOR_011 | MENTOR_033,MENTOR_011 | MENTOR_033,1,MENTOR_011,MENTOR_011,0,,
1,7,startup_015,startup_015,MENTOR_023 | MENTOR_027,MENTOR_023 | MENTOR_027,0,,,0,,
1,8,startup_017,startup_017,MENTOR_013 | MENTOR_032,MENTOR_013 | MENTOR_032,0,,,0,,
1,9,startup_013,startup_013,MENTOR_008 | MENTOR_026,MENTOR_008 | MENTOR_026,1,MENTOR_008,MENTOR_008,0,,
2,1,startup_015,startup_015,MENTOR_006 | MENTOR_012 | MENTOR_016,MENTOR_006 | MENTOR_012 | MENTOR_016,1,MENTOR_006,MENTOR_006,0,,
2,2,startup_017,startup_017,MENTOR_010 | MENTOR_025 | MENTOR_028,MENTOR_010 | MENTOR_025 | MENTOR_028,1,MENTOR_025,MENTOR_025,0,,
2,3,startup_010,startup_010,MENTOR_002 | MENTOR_014,MENTOR_002 | MENTOR_014,0,,,1,MENTOR_002,MENTOR_002
2,4,startup_012,startup_012,MENTOR_029 | MENTOR_031,MENTOR_029 | MENTOR_031,0,,,0,,
2,5,startup_018,startup_018,MENTOR_003 | MENTOR_034,MENTOR_003 | MENTOR_034,1,MENTOR_034,MENTOR_034,0,,
2,6,startup_011,startup_011,MENTOR_011 | MENTOR_033,MENTOR_011 | MENTOR_033,0,,,0,,
2,7,startup_014,startup_014,MENTOR_023 | MENTOR_027,MENTOR_023 | MENTOR_027,0,,,0,,
2,8,startup_013,startup_013,MENTOR_013 | MENTOR_032,MENTOR_013 | MENTOR_032,0,,,0,,
2,9,startup_016,startup_016,MENTOR_008 | MENTOR_026,MENTOR_008 | MENTOR_026,0,,,1,MENTOR_008,MENTOR_008
3,1,startup_013,startup_013,MENTOR_006 | MENTOR_012 | MENTOR_016,MENTOR_006 | MENTOR_012 | MENTOR_016,0,,,1,MENTOR_012,MENTOR_012
3,2,startup_018,startup_018,MENTOR_010 | MENTOR_025 | MENTOR_028,MENTOR_010 | MENTOR_025 | MENTOR_028,0,,,1,MENTOR_025,MENTOR_025
3,3,startup_014,startup_014,MENTOR_002 | MENTOR_014,MENTOR_002 | MENTOR_014,0,,,1,MENTOR_002,MENTOR_002
3,4,startup_010,startup_010,MENTOR_029 | MENTOR_031,MENTOR_029 | MENTOR_031,0,,,0,,
3,5,startup_015,startup_015,MENTOR_003 | MENTOR_034,MENTOR_003 | MENTOR_034,0,,,1,MENTOR_034,MENTOR_034
3,6,startup_017,startup_017,MENTOR_011 | MENTOR_033,MENTOR_011 | MENTOR_033,0,,,1,MENTOR_033,MENTOR_033
3,7,startup_011,startup_011,MENTOR_023 | MENTOR_027,MENTOR_023 | MENTOR_027,0,,,1,MENTOR_023,MENTOR_023
3,8,startup_016,startup_016,MENTOR_013 | MENTOR_032,MENTOR_013 | MENTOR_032,0,,,0,,
3,9,startup_012,startup_012,MENTOR_008 | MENTOR_026,MENTOR_008 | MENTOR_026,0,,,1,MENTOR_008,MENTOR_008
